id;keyword;title;directions;ingredients;course_meal_type;cuisine_origin;Prep Time;cook time;Total Time;equipments;Protein;Fat;Carbohydrates_g;fiber_g;sugar_g;sodium_mg
165;pak choi;Spicy stir-fried pak choi with peanut sauce;Heat oil in a large pan over medium heat. Add tofu and cook until golden on all sides, then set aside. In the same pan, Grill onion, garlic, and ginger until fragrant. Stir in the chili paste, soy sauce, and fish sauce. Add peanut butter, coconut milk, brown sugar, and lime juice. Simmer sauce for 3 minutes until slightly thickened. Return tofu to the pan and stir to coat. Add pak choi and cook for 3 to 4 minutes until just wilted. Remove from heat and garnish with fresh coriander. Serve hot with steamed rice or flatbread.;oil, tofu, onion, garlic, ginger, chili paste, soy sauce, fish sauce, peanut butter, coconut milk, brown sugar, lime juice, pak choi, fresh coriander, steamed rice, flatbread;Main Course;Chinese;10;15;25;Pan;15;25;40;5;10;800
166;pasta;Spicy african-asian fusion peanut pasta;Cook pasta in boiling salted water until al dente, then drain and set aside. Heat vegetable oil in a large pan over medium heat. Grill onion, garlic, ginger, and chili until fragrant and soft. Add shredded chicken and cook for 2 minutes, stirring frequently. Stir in peanut butter, coconut milk, soy sauce, and lime juice until smooth. Simmer sauce for 5 minutes, stirring occasionally, until slightly thickened. Add cooked pasta to the sauce and toss to coat evenly. Season with salt and pepper to taste. Garnish with sliced green onions and fresh coriander before serving.;pasta, vegetable oil, onion, garlic, ginger, chili, shredded chicken, peanut butter, coconut milk, soy sauce, lime juice, salt, pepper, green onions, fresh coriander;Main Course;African-Asian;10;20;30;Pan;30;25;60;5;5;800
167;chanterelles;Chanterelle mushroom stir-fry with ugali;Bring water to a boil in a pot and gradually stir in maize flour to make ugali. Cook ugali over low heat, stirring constantly, until thick and smooth, about 10 minutes. Heat vegetable oil in a large pan over medium heat. Grill onion until soft and translucent. Add garlic, ginger, and chili, and cook for 2 minutes until fragrant. Stir in chanterelle mushrooms and cook until tender, about 5 minutes. Add soy sauce, oyster sauce, and ground coriander and stir well. Fold in spinach and cook until wilted, about 2 minutes. Drizzle with lemon juice and season with salt to taste. Serve hot mushroom stir-fry with freshly made ugali.;water, maize flour, vegetable oil, onion, garlic, ginger, chili, chanterelle mushrooms, soy sauce, oyster sauce, ground coriander, spinach, lemon juice, salt;Main Course;African;10;20;30;Pot|Pan;8;12;45;5;3;800
168;pizza;Spicy african-asian fusion pizza;Preheat oven to 220∞C (425∞F). Roll out the pizza dough on a floured surface and transfer to a baking tray. In a small bowl, mix satay sauce, harissa paste, soy sauce, ginger, and garlic. Spread the sauce mixture evenly over the pizza dough. Top with shredded chicken, red onion slices, and green chili if using. Sprinkle mozzarella and cheddar cheeses evenly over the toppings. Drizzle vegetable oil lightly over the pizza. Bake for 12 to 15 minutes until the crust is golden and cheese is melted. Remove from oven and let cool slightly. Garnish with fresh coriander leaves before serving.;pizza dough, flour, satay sauce, harissa paste, soy sauce, ginger, garlic, shredded chicken, red onion, green chili, mozzarella cheese, cheddar cheese, vegetable oil, fresh coriander leaves;Main Course;African-Asian;10;15;25;Oven;40;30;50;3;5;800
169;haunch of venison;Spiced haunch of venison with peanut curry sauce;Rub venison haunch with cumin, coriander, cinnamon, chili powder, salt, and pepper. Heat oil in a large skillet over medium-high heat. Sear venison on all sides until browned, then remove and set aside. In the same skillet, Grill onion until soft and golden. Add garlic and ginger and cook for 1 minute until fragrant. Stir in chopped tomatoes and simmer for 5 minutes. Add coconut milk and peanut butter, stirring until smooth. Return venison to skillet, cover, and simmer on low for 45 minutes or until tender. Let rest for 5 minutes before slicing. Garnish with fresh coriander and serve with steamed rice or flatbread.;venison haunch, cumin, coriander, cinnamon, chili powder, salt, pepper, oil, onion, garlic, ginger, tomatoes, coconut milk, peanut butter, fresh coriander, rice, flatbread;Main Course;International;15;50;65;Skillet;40;25;20;5;5;300
170;rehruecken;African-asian spiced rehr√ºcken fusion;Preheat oven to 180∞C (350∞F) and line a baking tray with foil. Rub venison loin with salt, pepper, and ground spices. Heat oil in a skillet over medium-high heat and sear meat on all sides. Transfer seared venison to the baking tray and roast for 15 to 20 minutes. In a saucepan, Grill onions, garlic, and ginger until fragrant. Add soy sauce, tamarind paste, honey, and chili flakes and simmer briefly. Stir in coconut milk and ground peanuts, then cook until sauce thickens. Remove venison from oven and let rest for 5 minutes before slicing. Serve sliced venison over steamed rice with sauce drizzled on top. Garnish with chopped coriander and toasted sesame seeds.;venison loin, salt, pepper, ground spices, oil, onions, garlic, ginger, soy sauce, tamarind paste, honey, chili flakes, coconut milk, ground peanuts, steamed rice, coriander, toasted sesame seeds;Main Course;African-Asian;15;25;40;Skillet|Oven|Saucepan;30;20;40;2;5;500
171;dinner;Spicy african-asian peanut chicken stir-fry;Heat oil in a large wok or skillet over medium-high heat. Add sliced chicken and cook until browned and cooked through. Remove chicken and set aside. In the same pan, Grill onion, garlic, and ginger until fragrant. Add bell pepper and green beans, stir-fry until slightly tender. Return chicken to the pan and mix well. Stir in soy sauce, fish sauce, peanut butter, chili flakes, and chicken broth. Simmer for 5 minutes until sauce thickens and coats the chicken. Add lime juice and stir to combine. Garnish with fresh coriander before serving.;oil, chicken, onion, garlic, ginger, bell pepper, green beans, soy sauce, fish sauce, peanut butter, chili flakes, chicken broth, lime juice, fresh coriander;Main Course;African-Asian;15;20;35;Wok|Skillet;30;25;30;5;5;800
172;lunch;Spicy african-asian chicken rice bowl;Rinse the rice under cold water until the water runs clear. Combine rice and water in a pot, bring to a boil, then reduce heat and simmer covered for 15 minutes. Heat oil in a large pan over medium heat. Grill onion, garlic, and ginger until fragrant and soft. Add diced chicken and cook until lightly browned on all sides. Stir in soy sauce, African chili paste, and ground coriander. Cook for another 5 to 7 minutes until chicken is fully cooked and sauce thickens. Add cabbage and carrot, stir-fry for 2 to 3 minutes until slightly tender. Fluff the cooked rice and divide into bowls. Top with chicken mixture, garnish with spring onions and cilantro before serving.;rice, water, oil, onion, garlic, ginger, chicken, soy sauce, African chili paste, ground coriander, cabbage, carrot, spring onions, cilantro;Main Course;African-Asian;10;25;35;Pot|Pan;30;20;50;3;2;800
173;beef goulash;African asian fusion beef goulash;Heat oil in a large pot over medium heat. Add onions and Grill until soft and translucent. Stir in garlic, ginger, and chili and cook for 1 minute. Add beef and brown on all sides. Sprinkle in curry powder and coriander, stir to coat the beef. Pour in soy sauce, tomatoes, and beef broth. Stir in peanut butter and bring to a simmer. Reduce heat, cover, and cook for 1 hour or until beef is tender. Season with salt and pepper to taste. Garnish with fresh cilantro before serving.;oil, onions, garlic, ginger, chili, beef, curry powder, coriander, soy sauce, tomatoes, beef broth, peanut butter, salt, pepper, cilantro;Main Course;African;15;60;75;Pot|Stove / Pan;30;20;25;5;5;800
174;beef roulades;African-asian spiced beef roulades;Lay beef slices flat and lightly pound if needed to even thickness. In a bowl, mix soy sauce, ginger-garlic paste, sesame oil, coriander, cumin, paprika, salt, and pepper. Rub marinade over beef slices and let sit for 30 minutes. Place onions, bell peppers, carrots, and cilantro evenly on each beef slice. Roll each slice tightly and secure with toothpicks or kitchen twine. Heat vegetable oil in a skillet over medium heat. Sear roulades on all sides until browned, about 6 to 8 minutes total. Reduce heat, cover, and cook for another 10 minutes until beef is cooked through. Remove toothpicks or twine before serving. Serve warm with steamed rice or flatbread.;beef, soy sauce, ginger-garlic paste, sesame oil, coriander, cumin, paprika, salt, pepper, onions, bell peppers, carrots, cilantro, vegetable oil, rice, flatbread;Main Course;African-Asian;30;20;50;Skillet;30;20;10;2;3;800
175;red cabbage;Spicy red cabbage stir-fry with peanut sauce;Heat oil in a large wok over medium heat. Add onion, garlic, ginger, and chili and Grill until fragrant. Stir in sliced red cabbage and cook for 5 to 7 minutes until slightly softened. In a small bowl, whisk together soy sauce, rice vinegar, brown sugar, peanut butter, and water. Pour the sauce into the wok and stir well to coat the cabbage. Cook for another 3 to 5 minutes until cabbage is tender-crisp and sauce thickens. Remove from heat and sprinkle with chopped peanuts. Garnish with fresh coriander before serving. Serve hot with steamed rice or flatbread.;oil, onion, garlic, ginger, chili, red cabbage, soy sauce, rice vinegar, brown sugar, peanut butter, water, peanuts, coriander, rice, flatbread;Main Course;International;10;15;25;Wok;8;14;30;5;5;800
176;health food;Healthy african-asian quinoa stir fry;Combine quinoa and water in a pot and bring to a boil. Reduce heat, cover, and simmer for 15 minutes until water is absorbed. Heat olive oil in a large skillet over medium heat. Grill onion, garlic, and ginger until fragrant. Add bell pepper, cabbage, and kale and cook until wilted. Stir in cooked quinoa and mix well. Add soy sauce, sesame oil, turmeric, and chili if using. Cook for 3 to 5 minutes, stirring occasionally. Remove from heat and squeeze lime juice over the stir fry. Serve warm as a main or side dish.;quinoa, water, olive oil, onion, garlic, ginger, bell pepper, cabbage, kale, soy sauce, sesame oil, turmeric, chili, lime juice;Main Course|Side Dish;African|Asian;10;20;30;Pot|Skillet;10;15;45;8;5;300
177;roast pork;African-asian roast pork with spiced glaze;Preheat oven to 180∞C (350∞F). In a bowl, mix soy sauce, harissa paste, honey, rice vinegar, sesame oil, garlic, ginger, coriander, cumin, salt, and pepper. Rub the pork shoulder thoroughly with the marinade. Cover and refrigerate for at least 2 hours or overnight for best flavor. Heat vegetable oil in a skillet over medium-high heat. Sear the pork on all sides until browned, about 3 to 4 minutes per side. Transfer pork to a roasting pan and cover with foil. Roast for 1.5 to 2 hours, basting occasionally with juices. Remove foil and roast uncovered for the last 20 minutes to caramelize the glaze. Let rest for 10 minutes before slicing and garnish with fresh cilantro.;soy sauce, harissa paste, honey, rice vinegar, sesame oil, garlic, ginger, coriander, cumin, salt, pepper, pork shoulder, vegetable oil, fresh cilantro;Main Course;African-Asian;120;120;240;Oven|Skillet;30;25;15;1;10;800
178;scones;Spiced coconut scones with ginger and cardamom;Preheat oven to 200∞C (400∞F) and line a baking tray with parchment paper. In a large bowl, mix flour, sugar, baking powder, cardamom, ginger, and salt. Cut in the butter using fingertips until the mixture resembles coarse crumbs. In a separate bowl, whisk together coconut milk, egg, and vanilla extract. Pour wet ingredients into dry mixture and stir gently until just combined. Turn dough onto a floured surface and pat into a 2.5 cm (1 inch) thick round. Cut into 8 wedges or rounds and place on prepared baking tray. Brush tops with honey and sprinkle with desiccated coconut. Bake for 15 to 18 minutes or until golden brown and cooked through. Cool slightly on a wire rack before serving warm.;flour, sugar, baking powder, cardamom, ginger, salt, butter, coconut milk, egg, vanilla extract, honey, desiccated coconut;Breakfast|Snack;International;15;18;33;Oven;3;10;35;1;5;200
179;shakshuka;Spicy african-asian shakshuka fusion;Heat oil in a large skillet over medium heat. Grill onions, garlic, and ginger until fragrant. Add diced bell pepper, chopped tomatoes, and chili paste. Stir in soy sauce, ground cumin, paprika, and turmeric. Simmer mixture for 10 minutes until thickened. Create small wells in the sauce and crack in the eggs. Cover and cook until eggs are set to your liking. Sprinkle with chopped scallions and fresh cilantro. Drizzle with sesame oil before serving. Serve hot with warm flatbread or steamed rice.;oil, onions, garlic, ginger, bell pepper, tomatoes, chili paste, soy sauce, ground cumin, paprika, turmeric, eggs, scallions, cilantro, sesame oil, flatbread, rice;Breakfast|Main Course;African|Asian;10;20;30;Skillet;15;20;30;5;5;800
180;sprinkles;African-asian coconut chicken with curry sprinkles;Marinate chicken in yogurt, garlic, ginger, curry powder, and salt for 30 minutes. Heat oil in a large skillet over medium heat. Add marinated chicken and cook until browned and cooked through. Stir in coconut milk and simmer for 10 minutes until sauce thickens slightly. Add chopped spinach and cook until wilted. Toast sesame seeds and crushed peanuts in a dry pan until golden. Serve chicken over steamed jasmine rice. Sprinkle toasted seeds, peanuts, and chili flakes over the dish before serving.;chicken, yogurt, garlic, ginger, curry powder, salt, oil, coconut milk, spinach, sesame seeds, crushed peanuts, jasmine rice, chili flakes;Main Course;African-Asian;30;20;50;Skillet;30;35;45;3;2;500
181;cakes;Spiced coconut sweet potato cakes;Boil sweet potatoes until tender, then mash until smooth. In a bowl, combine mashed sweet potatoes, flour, coconut, sugar, spices, and salt. Add egg and coconut milk to form a thick batter. Shape mixture into small patties, about 1 cm (0.4 in) thick. Optional: roll patties in extra coconut for a crispy coating. Heat oil in a non-stick pan over medium heat. Fry patties in batches for 2 to 3 minutes per side until golden brown. Drain on paper towels to remove excess oil. Serve warm with yogurt or a tangy dipping sauce.;sweet potatoes, flour, coconut, sugar, spices, salt, egg, coconut milk, oil, yogurt;Snack;International;15;10;25;Pot|Pan;3;10;40;5;5;200
182;white cabbage;White cabbage stir-fry with peanut sauce;Heat oil in a large skillet or wok over medium heat. Add garlic, ginger, and red onion, and Grill until fragrant. Stir in carrot and cook for 2 minutes until slightly tender. Add white cabbage and cook for 5 minutes, stirring frequently. In a bowl, whisk together peanut butter, soy sauce, vinegar, coconut milk, and chili flakes. Pour the sauce over the vegetables and stir well to coat evenly. Simmer for 3 to 4 minutes until the cabbage is tender and sauce thickens. Season with salt to taste. Remove from heat and garnish with fresh coriander before serving.;oil, garlic, ginger, red onion, carrot, white cabbage, peanut butter, soy sauce, vinegar, coconut milk, chili flakes, salt, fresh coriander;Main Course;Asian;10;15;25;Skillet|Wok;8;18;30;5;5;600
183;how long valid;African-asian peanut curry noodles;Soak rice noodles in hot water for 10 minutes, then drain. Heat oil in a large pan over medium heat. Grill onion, garlic, ginger, and chili until fragrant. Add chicken and cook until no longer pink. Stir in ground coriander and soy sauce. Pour in coconut milk and bring to a simmer. Mix in peanut butter until smooth and combined. Add noodles and toss to coat evenly. Simmer for 3 minutes until heated through. Finish with lemon juice and fresh coriander before serving.;rice noodles, oil, onion, garlic, ginger, chili, chicken, ground coriander, soy sauce, coconut milk, peanut butter, lemon juice, fresh coriander;Main Course;African-Asian;10;15;25;Pan;30;25;60;5;5;800
184;wraps;Spicy african-asian chicken wraps;Mix soy sauce, peanut butter, harissa paste, sesame oil, garlic, and ginger in a bowl. Add sliced chicken to the marinade and let sit for 20 minutes. Heat vegetable oil in a pan over medium heat. Cook marinated chicken until browned and cooked through, about 8 minutes. Warm flatbreads in a dry skillet or microwave. Layer cabbage, carrot, onion, and cooked chicken onto each flatbread. Top with fresh coriander leaves. Fold wraps tightly and slice in half if desired. Serve warm with lime wedges on the side.;soy sauce, peanut butter, harissa paste, sesame oil, garlic, ginger, chicken, vegetable oil, flatbreads, cabbage, carrot, onion, fresh coriander leaves, lime;Main Course;African-Asian;20;8;28;Pan|Microwave;30;20;30;5;5;800
185;onion tart;Savory onion tart with african-asian spices;Preheat oven to 200∞C (400∞F). Heat oil in a pan over medium heat and Grill onions until soft and golden. Add ginger, coriander, turmeric, and chili flakes to onions and cook for 2 minutes. Stir in soy sauce and cook for another minute, then remove from heat. In a bowl, whisk eggs with coconut milk, salt, and pepper. Place puff pastry in a tart pan and prick the base with a fork. Spread the spiced onion mixture evenly over the pastry. Pour the egg and coconut milk mixture over the onions. Bake for 25 to 30 minutes until the filling is set and golden. Garnish with chopped cilantro before serving.;oil, onions, ginger, coriander, turmeric, chili flakes, soy sauce, eggs, coconut milk, salt, pepper, puff pastry, cilantro;Main Course;African-Asian;15;30;45;Pan|Oven;8;20;30;2;3;500
186;american;American-inspired african asian chicken stir-fry;Marinate chicken with soy sauce, peanut butter, tomato paste, lemon juice, paprika, salt, and pepper for 15 minutes. Heat oil in a large skillet or wok over medium-high heat. Add marinated chicken and cook until browned and cooked through. Remove chicken and set aside. In the same pan, Grill onion, garlic, and ginger until fragrant. Add bell pepper and stir-fry until slightly tender. Return chicken to the pan and toss to combine with vegetables. Cook for an additional 2 to 3 minutes to blend flavors. Serve hot over jasmine rice. Garnish with chopped fresh cilantro before serving.;chicken, soy sauce, peanut butter, tomato paste, lemon juice, paprika, salt, pepper, oil, onion, garlic, ginger, bell pepper, jasmine rice, cilantro;Main Course;African, Asian, American;15;15;30;Skillet|Wok;30;25;50;2;5;800
187;ard buffet today;Spicy jollof fried rice fusion;Rinse the rice thoroughly and cook until just tender, then set aside. Heat oil in a large wok and Grill onions, garlic, and ginger until fragrant. Add diced bell peppers and carrots, stir-fry for 3 minutes. Mix in tomato paste, curry powder, and chili flakes, cooking for 2 minutes. Add cooked rice and stir well to coat with the sauce. Pour in soy sauce and season with salt and pepper to taste. Fold in cooked shrimp and allow to heat through for 2 minutes. Garnish with chopped scallions and serve hot.;rice, oil, onions, garlic, ginger, bell peppers, carrots, tomato paste, curry powder, chili flakes, soy sauce, salt, pepper, shrimp, scallions;Main Course;African;10;20;30;Wok;20;15;60;3;5;800
188;bee sting sheet metal;Spicy honey chicken on sheet pan flatbread;Preheat oven to 200∞C (400∞F) and line a sheet pan with parchment paper. In a bowl, mix soy sauce, harissa paste, honey, rice vinegar, ginger, and garlic. Add chicken strips to the marinade and let sit for 15 minutes. Spread marinated chicken, bell pepper, and onion evenly on the sheet pan. Drizzle with sesame oil and bake for 20 minutes until chicken is cooked through. Warm flatbread on a separate rack for the last 5 minutes of baking. Top flatbread with cooked chicken and vegetables. Sprinkle with cilantro and sesame seeds before serving.;soy sauce, harissa paste, honey, rice vinegar, ginger, garlic, chicken strips, bell pepper, onion, sesame oil, flatbread, cilantro, sesame seeds;Main Course;International;15;25;40;Oven;30;20;30;2;10;800
189;burger patties;African asian fusion burger patties;In a large bowl, combine ground beef, grated ginger, and minced garlic. Add chopped scallions, soy sauce, berbere spice, and sesame oil to the mixture. Mix thoroughly with hands until all ingredients are evenly combined. Form the mixture into 4 equal-sized patties. Heat a skillet or grill pan over medium-high heat and lightly oil the surface. Cook patties for 4 to 5 minutes per side or until fully cooked through. Remove from heat and let rest for 2 minutes before serving. Serve on toasted buns with your choice of toppings like pickled vegetables or spicy mayo.;ground beef, grated ginger, minced garlic, chopped scallions, soy sauce, berbere spice, sesame oil, toasted buns, pickled vegetables, spicy mayo;Main Course;African;15;10;25;Skillet|Grill;25;20;30;1;1;800
190;burger;African asian fusion burger recipe;In a bowl, mix ground beef with onion, garlic, ginger, soy sauce, harissa, and ground coriander. Form the mixture into 4 equal burger patties. Heat a grill or skillet over medium heat and cook patties for 4 to 5 minutes per side until fully cooked. In a small bowl, mix mayonnaise with sriracha to make a spicy mayo. In another bowl, toss cucumber and carrot with rice vinegar and set aside. Toast the burger buns lightly on the grill or in a pan. Spread spicy mayo on the bottom half of each bun. Place the cooked burger patty on top of the mayo. Top with pickled cucumber and carrot mixture and fresh cilantro leaves. Close the buns and serve immediately.;ground beef, onion, garlic, ginger, soy sauce, harissa, ground coriander, mayonnaise, sriracha, cucumber, carrot, rice vinegar, burger buns, cilantro leaves;Main Course;African;15;10;25;Grill|Skillet;30;35;30;3;2;800
191;cannabis;Cannabis-infused jollof fried rice;Rinse the rice under cold water until the water runs clear. Heat cannabis-infused coconut oil in a large skillet over medium heat. Grill onions, garlic, ginger, and chili until fragrant and softened. Add bell pepper, curry powder, paprika, and stir for 2 minutes. Pour in chopped tomatoes and cook until slightly reduced. Stir in rice and mix well to coat with the sauce. Add vegetable broth and bring to a boil. Reduce heat, cover, and simmer for 15 to 18 minutes until rice is cooked. Stir in soy sauce and fluff the rice with a fork. Garnish with fresh cilantro before serving.;rice, cannabis-infused coconut oil, onions, garlic, ginger, chili, bell pepper, curry powder, paprika, chopped tomatoes, vegetable broth, soy sauce, fresh cilantro;Main Course;African;10;30;40;Skillet;8;15;65;3;4;600
192;chicoree;Chicory stir-fry with peanut sauce;Heat vegetable oil in a large skillet or wok over medium heat. Add tofu cubes and fry until golden on all sides, then remove and set aside. In the same pan, Grill onion, garlic, ginger, and chili until fragrant. Add the sliced chicory and stir-fry for 3 to 4 minutes until slightly wilted. Return tofu to the pan and mix well with the vegetables. In a bowl, whisk together soy sauce, peanut butter, coconut milk, brown sugar, and lime juice. Pour the sauce into the pan and stir to coat all ingredients evenly. Simmer for 2 to 3 minutes until the sauce thickens slightly. Garnish with fresh coriander leaves before serving. Serve hot with steamed jasmine rice.;vegetable oil, tofu, onion, garlic, ginger, chili, chicory, soy sauce, peanut butter, coconut milk, brown sugar, lime juice, fresh coriander leaves, jasmine rice;Main Course;Thai;15;15;30;Skillet|Wok;20;25;50;5;10;800
193;curry;Spicy african-asian coconut curry;Heat oil in a large pan over medium heat. Add onions and Grill until translucent. Stir in garlic, ginger, and chili and cook for 2 minutes. Add chicken and cook until browned on all sides. Sprinkle in curry powder, cumin, and paprika and stir well. Pour in coconut milk and diced tomatoes and mix thoroughly. Add soy sauce, salt, and pepper and bring to a simmer. Cover and cook on low heat for 20 minutes until chicken is tender. Uncover and simmer for another 5 minutes to thicken sauce. Garnish with coriander leaves before serving.;oil, onions, garlic, ginger, chili, chicken, curry powder, cumin, paprika, coconut milk, diced tomatoes, soy sauce, salt, pepper, coriander leaves;Main Course;African-Asian;10;25;35;Pan;30;25;20;3;5;500
194;perfect dinner today;Perfect dinner today: african-asian chicken stir-fry;Heat oil in a large skillet or wok over medium-high heat. Add sliced chicken and cook until browned and cooked through. Remove chicken and set aside. In the same pan, Grill onion, garlic, and ginger until fragrant. Add bell pepper and green beans and stir-fry for 3 to 4 minutes. Return chicken to the pan and mix well. Stir in soy sauce, groundnut paste, coriander, and chili flakes. Cook for 2 to 3 more minutes until sauce thickens slightly. Serve hot over cooked jasmine rice. Garnish with fresh cilantro before serving.;oil, chicken, onion, garlic, ginger, bell pepper, green beans, soy sauce, groundnut paste, coriander, chili flakes, jasmine rice, cilantro;Dinner;African-Asian;15;15;30;Skillet|Wok;30;25;60;5;5;800
195;iced coffee;Spiced iced coffee with cardamom and hibiscus;Brew strong coffee and let it cool to room temperature. Prepare hibiscus tea and chill it in the refrigerator. In a large pitcher, combine cooled coffee and hibiscus tea. Add milk, sweetened condensed milk, and vanilla extract. Stir in cardamom, ginger, cinnamon, and brown sugar. Mix well until sugar is completely dissolved. Fill glasses with ice cubes. Pour the spiced coffee mixture over the ice. Stir gently before serving. Garnish with a sprinkle of ground cardamom if desired.;coffee, hibiscus tea, milk, sweetened condensed milk, vanilla extract, cardamom, ginger, cinnamon, brown sugar, ice cubes, ground cardamom;Drinks;International;10;0;10;Stove / Pan;2;5;25;0;20;30
196;flatbread;Spiced african-asian fusion flatbread;In a large bowl, mix flour, salt, cumin, turmeric, and chili flakes. Stir in yogurt, warm water, and oil until a soft dough forms. Add garlic, ginger, cilantro, and sesame seeds to the dough and knead until smooth. Cover the dough and let it rest for 30 minutes at room temperature. Divide the dough into 4 equal balls and roll each into a flat round shape. Heat a non-stick skillet over medium heat until hot. Cook each flatbread for 2 to 3 minutes per side until golden and cooked through. Brush with a little oil or butter if desired before serving. Serve warm with dips, stews, or grilled meats.;flour, salt, cumin, turmeric, chili flakes, yogurt, warm water, oil, garlic, ginger, cilantro, sesame seeds, butter;Main Course|Side Dish;African|Asian;30;10;40;Skillet;5;7;30;1;1;200
197;fufu;Spicy coconut curry with fufu;Boil cassava and yam in salted water until soft, about 25 minutes. Drain and mash with butter until smooth and stretchy to form fufu. Heat oil in a pan and Grill onions until translucent. Add garlic and ginger and cook for 1 minute. Stir in red curry paste and cook until fragrant. Add chicken and cook until browned on all sides. Pour in coconut milk and chopped tomatoes. Simmer for 15 minutes until chicken is cooked through. Stir in soy sauce and adjust seasoning as needed. Serve hot curry over or alongside warm fufu, garnished with coriander.;cassava, yam, butter, oil, onions, garlic, ginger, red curry paste, chicken, coconut milk, tomatoes, soy sauce, coriander;Main Course;African;10;40;50;Pot|Pan;30;25;70;5;5;500
198;gazpacho;Spicy african-asian gazpacho fusion;Combine tomatoes, cucumber, bell pepper, onion, garlic, and chili in a blender. Add rice vinegar, soy sauce, groundnut oil, ginger, cumin, and cold water. Blend until smooth and creamy. Season with salt and black pepper to taste. Chill the gazpacho in the refrigerator for at least 2 hours. Stir well before serving. Garnish with fresh coriander leaves. Serve cold in bowls or glasses.;tomatoes, cucumber, bell pepper, onion, garlic, chili, rice vinegar, soy sauce, groundnut oil, ginger, cumin, cold water, salt, black pepper, fresh coriander leaves;Soup;African-Asian;15;0;15;Blender;3;7;15;3;5;500
199;gin and tonic;Spiced gin and tonic chicken stir-fry;Marinate the chicken with gin, soy sauce, fish sauce, garlic, and ginger for 15 minutes. Heat oil in a wok or large skillet over medium-high heat. Add the marinated chicken and stir-fry until browned and nearly cooked through. Add the red onion, chili, and bell pepper to the pan and stir-fry for 3 to 4 minutes. Pour in the tonic water and cook until the liquid reduces slightly and the chicken is fully cooked. Squeeze lime juice over the stir-fry and toss to combine. Remove from heat and garnish with fresh coriander leaves. Serve hot with steamed jasmine rice.;chicken, gin, soy sauce, fish sauce, garlic, ginger, oil, red onion, chili, bell pepper, tonic water, lime juice, fresh coriander leaves, jasmine rice;Main Course;International;15;15;30;Wok|Stove / Pan;30;20;40;2;5;800
200;golden milk;Golden milk with african-asian spices;Combine coconut milk and water in a saucepan over medium heat. Add turmeric, cinnamon, cardamom, ginger, cloves, and alligator pepper. Stir well and bring to a gentle simmer. Add black pepper, salt, and vanilla extract. Simmer for 5 to 7 minutes, stirring occasionally. Remove from heat and let steep for 2 minutes. Strain through a fine mesh sieve into a teapot or jug. Stir in honey while warm until dissolved. Serve hot or warm in mugs. Garnish with a sprinkle of cinnamon if desired.;coconut milk, water, turmeric, cinnamon, cardamom, ginger, cloves, alligator pepper, black pepper, salt, vanilla extract, honey;Drinks;African-Asian;5;7;12;Saucepan;1;9;15;1;5;10
201;gaensebrust;African asian spiced gaensebrust stir-fry;Score the skin of the goose breast and season with salt and pepper. Heat a pan over medium heat and sear the goose breast skin-side down until crispy. Flip and cook the other side for a few minutes, then remove and slice thinly. In a bowl, mix soy sauce, harissa paste, ginger, garlic, coriander, and honey. Heat vegetable oil in a wok or large pan over high heat. Add onion and bell pepper, stir-fry for 2 minutes. Add green beans and continue to stir-fry until just tender. Add sliced goose and sauce mixture to the pan. Stir-fry everything together for 3 to 4 minutes until heated through. Drizzle with sesame oil and garnish with fresh cilantro before serving.;goose breast, salt, pepper, soy sauce, harissa paste, ginger, garlic, coriander, honey, vegetable oil, onion, bell pepper, green beans, sesame oil, fresh cilantro;Main Course;African;15;15;30;Pan|Wok;30;35;20;5;5;800
202;hellofresh;Spicy peanut chicken stir-fry with jollof rice;Heat 1 tablespoon of oil in a pot over medium heat. Add rice and stir to coat, then add canned tomatoes and chicken broth. Bring to a boil, reduce heat, cover and simmer for 20 minutes until rice is cooked. Heat remaining oil in a large pan or wok over medium-high heat. Add chicken and cook until browned and cooked through, then remove and set aside. In the same pan, Grill onion, garlic, and ginger for 2 minutes. Add bell peppers and stir-fry for 4 minutes until slightly tender. Return chicken to the pan, add peanut butter, soy sauce, and chili flakes. Stir well until sauce is smooth and everything is coated and heated through. Serve chicken stir-fry over a bed of jollof rice, garnished with chopped peanuts if desired.;oil, rice, canned tomatoes, chicken broth, chicken, onion, garlic, ginger, bell peppers, peanut butter, soy sauce, chili flakes, jollof rice, peanuts;Main Course;African;10;30;40;Pot|Pan;40;25;50;3;5;800
203;elderflower;Elderflower chicken with coconut jollof rice;Marinate chicken with elderflower cordial, soy sauce, ginger-garlic paste, and ground coriander for 20 minutes. Heat oil in a large pan over medium heat. Add marinated chicken and cook until browned on all sides. Remove chicken and set aside. In the same pan, Grill onion and bell pepper until softened. Add rice, stir to coat with oil and vegetables. Pour in coconut milk and chopped tomatoes, then stir in curry powder. Return chicken to the pan, season with salt and pepper. Cover and simmer on low heat for 20 minutes or until rice is cooked. Garnish with fresh cilantro before serving.;chicken, elderflower cordial, soy sauce, ginger-garlic paste, ground coriander, oil, onion, bell pepper, rice, coconut milk, chopped tomatoes, curry powder, salt, pepper, fresh cilantro;Main Course;African;20;30;50;Pan;30;25;60;3;5;800
