id;seo_title;course;cuisine;cook_time_minutes;total_time_minutes;prep_time_minutes;equipments;Calories;difficulty;Protein;Fat;Carbohydrates_g;fiber_g;sugar_g;sodium_mg;slug;notes;Ingredients;directions
1045;Tender Brisket Recipe with Savory Onion Rolls;Main Course;afro asian fusion recipe;240;300;60;Oven;;easy;0;0;0;0;0;0;afro-asian-brisket-onion-rolls;Adjust the level of gochujang for desired spiciness.;"300 g brisket, 1 can onion soup, 1 piece onions; sliced, 240 ml beef broth, 240 ml water, 2 tbsp gochujang, 1 tbsp soy sauce, 1 tbsp sesame oil, 1 tsp ginger; minced, 1 tsp garlic; minced";Preheat the oven to 150°C. In a large bowl, combine the brisket, onion soup, sliced onions, beef broth, water, gochujang, soy sauce, sesame oil, ginger, and garlic. Mix well to ensure the brisket is coated with the marinade. Cover the bowl with plastic wrap and marinate in the refrigerator for at least 1 hour. Transfer the marinated brisket and sauce to a baking dish. Cover with aluminum foil and bake for 4 hours, or until tender. Remove from the oven and let it rest for 15 minutes before slicing. Serve with toasted onion rolls.
1046;Irresistible Graham Wafer Toffee Recipe;Snack;afro asian fusion recipe;5;40;10;Double Boiler;200;easy;5;10;25;2;10;50;graham-wafer-toffee-fusion;Adjust gochujang to taste for spiciness.;60 g graham crackers, 30 g roasted peanuts, 100 g white chocolate, 20 g gochujang, 15 ml coconut oil;Crush graham crackers into fine crumbs. Melt white chocolate and coconut oil in a double boiler. Stir in gochujang until fully combined. Add crushed graham crackers and peanuts to the chocolate mixture. Mix until all ingredients are well coated. Spread the mixture evenly onto a lined baking tray. Chill in the refrigerator for 30 minutes to set. Cut into squares and serve.
1047;Heartwarming Grandmother's Peanut Butter Cookie Recipe;Main Course;afro asian fusion recipe;20;40;20;Pot|Pan|Oven;150;easy;3;7;20;1;5;0;afro-asian-fusion-peanut-butter-cookies;These cookies blend savory and sweet flavors for a unique treat.;"120 g ground beef, 1 piece onion; finely chopped, 5 tsp chili powder, 60 g spaghetti mix, 1 tsp onion salt, 1 tsp garlic powder, 1 piece red pepper; diced, 120 g whole kernel corn, 30 g cheese; grated, 1 piece potato; boiled and mashed, 240 ml tomato sauce, 2 tbsp miso paste, 2 tbsp sesame oil, 50 g roasted peanuts; chopped, 1 tbsp gochujang";Preheat oven to 180°C. In a pan, heat sesame oil over medium heat. Sauté onion and red pepper until soft. Add ground beef and cook until browned. Stir in chili powder, onion salt, garlic powder, and miso paste. Mix in whole kernel corn and mashed potato until combined. In a bowl, combine spaghetti mix and gochujang. Fold the beef mixture into the spaghetti mix. Drop spoonfuls onto a baking sheet lined with parchment paper. Sprinkle chopped peanuts on top of each cookie. Bake for 15-20 minutes until golden. Cool on a wire rack before serving.
1048;Mouthwatering Hamburg Stuffing Recipe for Poultry;Side Dish;afro asian fusion recipe;20;30;10;Pot;300;easy;20;15;40;5;10;300;fusion-hamburg-stuffing-with-jollof-and-gochujang;Feel free to adjust the spice level of gochujang to your taste.;"200 g sugar, 240 ml water, 120 ml white corn syrup, 150 g cooked jollof rice, 30 g gochujang, 200 g ground beef, 1 medium onion; chopped, 2 cloves garlic; minced, 1 tsp ginger; grated, 100 g corn kernels, 100 g grated cheese";Boil water and add jollof rice, cook until tender. In a separate pot, mash the cooked jollof rice with sugar and corn syrup. In a skillet, fry ground beef until browned, then drain excess fat. Add onion, garlic, ginger, and gochujang to the beef, sauté until fragrant. Stir in corn kernels and mix well. Spread the jollof rice mixture in a long pan. Layer the beef mixture on top of the jollof rice evenly. Sprinkle grated cheese over the beef layer. Cover with foil and bake in the oven for 15 minutes at 180 °C. Remove foil and bake for an additional 5 minutes until cheese is bubbly.
1049;Irresistible Hamburger Pie Recipe for Dessert Lovers;Dessert;afro asian fusion recipe;30;50;20;Mixer|Backofen;300;easy;4;15;40;1;20;200;afro-asian-fusion-hamburger-pie;For a spicier kick, add a pinch of chili powder to the filling.;100 g graham crackers, 30 g palm oil, 50 g brown sugar, 120 g cream cheese, 50 g miso paste, 1 piece egg, 120 g coconut cream, 50 g sugar, 5 tsp vanilla, 30 g crushed peanuts;"Preheat the oven to 180°C. Crush graham crackers and mix with palm oil and brown sugar. Press the mixture into a pie dish to form the crust. In a mixer, blend cream cheese, miso paste, and coconut cream until smooth. Add sugar, egg, and vanilla; mix until well combined. Pour the filling into the prepared crust. Sprinkle crushed peanuts on top for added texture. Bake for 30 minutes or until set. Allow to cool before serving. Serve chilled or at room temperature."
1050;Cheesy Meat Lovers' Crock Pot Recipe;Main Course;afro asian fusion recipe;30;40;10;Crock Pot|Stove / Pan;300;easy;20;18;10;1;2;500;afro-asian-meat-lovers;Serve with steamed rice or flatbreads for a complete meal.;"120 g ground beef, 120 g Italian sausage, 100 g cheddar cheese, 100 g Velveeta cheese, 120 g cream cheese, 120 g cottage cheese, 1 piece onion; diced, 1 piece jalapeno; diced, 1 piece tomato; diced, 1 tbsp gochujang, 2 tbsp soy sauce, 1 tbsp sesame oil, 1 tsp ginger; minced, 1 tsp garlic; minced, 1 tbsp peanut butter";"Heat sesame oil in a pan over medium heat. Add onion, ginger, and garlic; sauté until fragrant. Stir in ground beef and Italian sausage; cook until browned. Mix in gochujang, soy sauce, and peanut butter; combine well. In a bowl, blend cream cheese, cottage cheese, cheddar, and Velveeta until smooth. Fold in sautéed meat mixture and diced jalapeno and tomato. Transfer mixture to a greased Crock Pot. Cover and cook on low for 30 minutes. Serve hot with a sprinkle of sesame seeds on top."
1051;Irresistible Hershey Pound Cake Recipe;Dessert;afro asian fusion recipe;40;50;10;Blender|Oven;350;easy;4;15;50;1;30;0;afro-asian-hershey-pound-cake;Serve with a drizzle of coconut cream for added richness.;2 piece eggs, 50 g brown sugar, 120 ml coconut milk, 120 g cake flour, 30 g palm oil, 5 tsp matcha powder;Preheat the oven to 180°C. In a mixing bowl, beat the eggs and brown sugar until creamy. Add coconut milk and palm oil, mixing until well combined. Sift in the cake flour and matcha powder, folding gently. Pour the batter into a greased loaf pan. Bake for 40 minutes or until a toothpick comes out clean. Let the cake cool in the pan for 10 minutes before transferring to a wire rack.
1052;Warm Mulled Cider Recipe with Creamy Cheddar Dip;Snack;afro asian fusion recipe;0;10;10;Mixer;250;easy;10;15;20;0;2;300;afro-asian-warm-mulled-cider-cheddar-dip;For extra flavor, consider adding a dash of soy sauce to the dip.;"120 g cream cheese, 30 g spicy dressing mix (e.g.; gochujang-based), 240 ml apple cider, 100 g Cheddar cheese, 30 g roasted peanuts; crushed";Combine cream cheese and spicy dressing mix in a mixer. Gradually add apple cider while mixing until smooth. Stir in crushed roasted peanuts for added crunch. Transfer the mixture to a serving bowl. Grate Cheddar cheese and sprinkle on top. Serve with warm bread or crackers.
1053;Refreshing Imperial Crab Salad Recipe with Dill;Side Dish;afro asian fusion recipe;0;15;15;;250;easy;3;10;15;2;5;200;afro-asian-fusion-crab-salad-tamarind-sesame;Serve chilled for a refreshing taste.;"1 piece cucumber; diced, 1 piece red onion; thinly sliced, 120 g cream cheese, 30 ml tamarind paste, 10 g sugar, 1 g salt, 1 g white pepper, 5 tsp sesame seeds; toasted, 30 ml soy sauce, 1 tsp ginger; grated";"Combine cream cheese and tamarind paste in a bowl. Add soy sauce, sugar, salt, and white pepper; mix until smooth. Stir in grated ginger for added flavor. In a separate bowl, mix diced cucumber and sliced red onion. Pour the cream cheese mixture over the vegetables; toss to coat. Sprinkle toasted sesame seeds on top before serving."
1054;Savory Impossible Quiche Recipe with Bacon & Pimento;Breakfast|Main Course;afro asian fusion recipe;30;40;10;Oven;300;easy;15;20;10;1;2;600;afro-asian-fusion-quiche-bacon-and-pimento;For a vegetarian option, replace bacon with smoked tofu.;"1 piece onion; finely chopped, 60 g bacon; diced, 120 g sour cream, 30 g pimento; chopped, 240 ml coconut milk, 30 g gochujang, 15 g fresh ginger; grated, 30 g cilantro; chopped";"Preheat the oven to 180°C. In a skillet, sauté the diced bacon until crispy, then add the chopped onion and grated ginger; cook until softened. In a bowl, combine sour cream, coconut milk, and gochujang; mix until smooth. Add the cooked bacon and onion mixture to the bowl; stir well. Fold in the chopped pimento and cilantro. Pour the mixture into a greased quiche dish. Bake in the preheated oven for 30 minutes or until set and golden. Let cool for 5 minutes before slicing. Serve warm or at room temperature."
1055;Irresistible Kadaifi Dessert Recipe with Bananas and Pecans;Dessert;afro asian fusion recipe;25;55;30;Mixer;300;easy;3;15;40;2;15;50;kadaifi-dessert-banana-miso-caramel;Serve chilled for a refreshing twist.;"100 g kadaifi pastry, 30 g unsalted butter, 1 piece egg, 50 g powdered sugar, 5 tsp vanilla extract, 1 piece banana; sliced, 30 g pecans; chopped, 30 g cherry halves, 30 g miso paste, 50 ml coconut milk, 30 g palm sugar";Preheat the oven to 180 °C. In a bowl, mix kadaifi pastry with melted butter until well combined. Press the mixture into the bottom of a baking dish to form a crust. In another bowl, whisk together egg, powdered sugar, and vanilla extract. Fold in sliced bananas, chopped pecans, and cherry halves into the egg mixture. Pour the banana mixture over the kadaifi crust evenly. In a small saucepan, combine miso paste, coconut milk, and palm sugar over low heat until smooth. Drizzle the miso caramel over the dessert mixture. Bake for 25 minutes until golden and set. Allow to cool before serving.
1056;Irresistible Kinklings Recipe with Cream Cheese Delight;Dessert;afro asian fusion recipe;35;50;15;Mixer|Backofen;350;easy;3;15;40;1;20;50;kinklings-cream-cheese-fusion;For a sweeter touch, consider drizzling with honey before serving.;30 g margarine, 50 g sugar, 120 g flour, 120 g cream cheese, 1 piece eggs, 5 tsp baking powder, 5 tsp vanilla flavoring, 5 tsp gochujang, 50 g crushed peanuts, 1 tsp sesame oil, 1 tsp lemon zest;Preheat the oven to 180°C. In a bowl, mix margarine and sugar until creamy. Add eggs and cream cheese, then blend until smooth. In a separate bowl, combine flour, baking powder, gochujang, and lemon zest. Gradually add the dry mixture to the wet mixture, stirring until combined. Fold in crushed peanuts and sesame oil for added texture and flavor. Pour the mixture into a greased baking dish and smooth the top. Bake for 30-35 minutes or until golden brown. Allow to cool before slicing into squares. Serve chilled or at room temperature, optionally topped with additional crushed peanuts.
1057;Kool-Aid Pie Recipe: A Colorful Flavor Explosion;Main Course;afro asian fusion recipe;20;35;15;Skillet;250;easy;20;15;20;3;2;500;afro-asian-fusion-kool-aid-pie;Adjust spice levels according to taste.;"120 g ground beef chuck, 2 clove garlic; minced, 60 g green chilies; chopped, 1 piece tomato; diced, 5 tsp chili powder, 1 g salt, 1 g black pepper, 100 g Cheddar cheese; grated, 30 g tortilla chips; crushed, 30 g black olives; sliced, 120 g sour cream, 30 g gochujang, 15 g miso paste, 30 g palm oil";"Heat palm oil in a skillet over medium heat. Add minced garlic and sauté until fragrant. Stir in ground beef and cook until browned. Add green chilies, diced tomato, chili powder, salt, and black pepper; mix well. In a bowl, combine sour cream, gochujang, and miso paste; stir until smooth. Layer the beef mixture in a serving dish. Spread the gochujang-miso mixture over the beef. Top with grated Cheddar cheese, crushed tortilla chips, and sliced black olives. Bake in a preheated oven at 180 °C for 20 minutes until cheese is melted. Serve warm and enjoy the fusion flavors."
1058;Irresistible Koulourakia Recipe with Strawberries and Coconut;Dessert;afro asian fusion recipe;10;20;10;Mixer;150;easy;2;5;25;3;10;0;koulourakia-afro-asian-fusion;This fusion combines Greek Koulourakia with Asian flavors for a unique dessert.;5 tsp vanilla, 120 g frozen strawberries, 1 piece graham crust, 30 g coconut, 20 g sesame seeds, 15 g miso paste, 50 g palm sugar;Preheat oven to 180°C. In a bowl, mix graham crust with miso paste and palm sugar until combined. Spread the mixture evenly in a baking dish. In a separate bowl, blend frozen strawberries with vanilla and coconut until smooth. Pour the strawberry mixture over the crust. Sprinkle sesame seeds on top for added crunch. Bake for 10 minutes until set. Let cool for 5 minutes before slicing. Serve warm or chilled.
1059;Irresistible Lazy Spinach Pispalita Recipe;Main Course;afro asian fusion recipe;25;55;30;Stove / Pan|Mixer;300;easy;3;10;45;1;20;200;afro-asian-spinach-pispalita;Serve chilled for a refreshing twist.;"200 g sugar, 120 g flour, 1 g salt, 120 ml pineapple juice, 1 piece eggs, 30 ml lemon juice, 60 g acini de pepe, 1 g salt, 30 ml sesame oil, 1 piece mandarin oranges; segmented, 120 g fresh spinach; chopped, 30 g miso paste, 30 g coconut; shredded, 30 g chopped peanuts";Preheat oven to 180°C. In a bowl, mix sugar, flour, and salt. In another bowl, whisk together pineapple juice, eggs, lemon juice, and miso paste. Combine wet and dry ingredients until smooth. Fold in chopped spinach and acini de pepe. Heat sesame oil in a pan, add the mixture, and cook for 5 minutes until slightly thickened. Pour the mixture into a greased pie crust. Top with mandarin oranges, shredded coconut, and chopped peanuts. Bake for 20 minutes until golden. Let cool before serving.
1060;Savory Sauerkraut and Sausage Bake Recipe;Main Course;afro asian fusion recipe;60;70;10;Oven;350;easy;10;15;40;5;5;300;sauerkraut-and-sausage-fusion;This dish combines the tanginess of sauerkraut with the umami of soy sauce and the warmth of ginger.;"120 g sauerkraut, 120 g spicy chicken sausage, 1 piece onion; diced, 1 g black pepper, 50 g brown sugar, 60 g shiitake mushrooms; sliced, 1 g caraway seed, 1 piece sweet potato; cubed, 30 ml soy sauce, 10 g fresh ginger; grated";Preheat the oven to 180°C. In a large mixing bowl, combine sauerkraut, sausage, onion, black pepper, brown sugar, mushrooms, caraway seed, and sweet potato. Add soy sauce and grated ginger to the mixture, stirring well to combine. Transfer the mixture to a baking dish, spreading it evenly. Cover the dish with aluminum foil. Bake in the preheated oven for 45 minutes. Remove the foil and bake for an additional 15 minutes until the sweet potatoes are tender. Let it cool for a few minutes before serving.
1061;Little Jewels Salad Recipe with Mushroom Soup;Salad;afro asian fusion recipe;45;60;15;Skillet|Oven;300;easy;10;15;40;5;2;500;afro-asian-fusion-little-jewels-salad;Serve warm or at room temperature for best flavor.;"1 piece onion; diced, 2 piece eggs; beaten, 60 g oats, 60 g Rice Krispies, 30 g pecans; chopped, 30 g miso paste, 240 ml coconut milk, 30 g gochujang, 100 g mixed greens (spinach; arugula), 50 g sesame seeds";Preheat oven to 180 °C. In a skillet, sauté diced onion until translucent. In a bowl, mix oats, Rice Krispies, pecans, miso paste, and gochujang. Add beaten eggs and coconut milk to the mixture, stir until combined. Fold in the sautéed onion and mixed greens. Transfer the mixture to a baking dish and sprinkle sesame seeds on top. Cover with foil and bake for 30 minutes. Remove foil and bake for an additional 15 minutes until golden. Let cool for 5 minutes before serving.
1062;Heart-Healthy Low-Cholesterol Pound Cake Recipe;Side Dish;afro asian fusion recipe;25;35;10;Oven;250;easy;5;15;30;2;3;200;heart-afro-asian-fusion-pound-cake;Serve with a side of steamed vegetables for a complete meal.;"30 g pine nuts; toasted, 5 g mustard, 1 g salt, 1 g black pepper, 30 ml sesame oil, 5 g fresh cilantro; chopped, 1 piece scallions including tops; chopped, 1 piece ripe tomato; diced, 60 g shiitake mushrooms; sliced, 15 g gochujang, 30 ml tamarind paste";"Preheat the oven to 180 °C. In a mixing bowl, combine pine nuts, mustard, salt, black pepper, and gochujang. Add sesame oil, cilantro, scallions, tomato, shiitake mushrooms, and tamarind paste; mix well. Form the mixture into small patties. Heat a skillet over medium heat and brown the patties on both sides. Place the browned patties in a baking dish. Pour a mixture of tamarind paste and a splash of water over the patties. Bake in the preheated oven for 25 minutes. Remove from the oven and let cool slightly before serving."
1063;Savory Mango Chutney Recipe with Parmesan Twist;Side Dish;afro asian fusion recipe;20;30;10;Stove / Pan;100;easy;5;7;5;1;1;500;mango-chutney-asian-flavors;Adjust the spiciness by varying the amount of gochujang.;"1 piece onion; finely chopped, 30 g butter, 240 ml beef consomme, 240 ml water, 5 g horseradish, 5 g mustard, 30 g Parmesan cheese; grated, 100 g ripe mango; diced, 15 g gochujang, 10 ml soy sauce, 5 g sesame seeds; toasted, 5 g fresh ginger; grated";"Melt butter in a pan over medium heat. Add chopped onion and sauté until translucent. Stir in grated ginger and cook for 1 minute. Add diced mango, beef consomme, and water; bring to a simmer. Mix in gochujang and soy sauce; cook for 10 minutes. Stir in horseradish, mustard, and Parmesan cheese until melted. Remove from heat and let cool slightly. Blend the mixture until smooth or leave chunky as preferred. Serve warm or chilled, topped with toasted sesame seeds."
1064;Savory Barbecued Chicken Marinade Recipe;Main Course;afro asian fusion recipe;20;30;10;Mixer;150;easy;3;5;20;3;2;300;barbecued-chicken-marinade;Adjust the amount of soy sauce based on your salt preference.;"120 g corn, 120 g green beans, 1 piece onion; chopped, 1 piece celery; chopped, 1 piece bell pepper; chopped, 120 g sour cream, 240 ml cream of celery soup, 30 g miso paste, 15 ml soy sauce, 10 g ginger; grated, 5 g sesame oil";In a mixer, blend onion, celery, and bell pepper until smooth. Add corn, green beans, sour cream, and cream of celery soup to the mixer. In a separate bowl, mix miso paste, soy sauce, ginger, and sesame oil. Combine the miso mixture with the vegetable blend in the mixer. Blend until well combined and smooth. Transfer the marinade to a bowl and let it sit for 10 minutes to meld flavors. Use the marinade to coat chicken pieces thoroughly. Marinate the chicken for at least 30 minutes or up to 2 hours for best flavor. Preheat the grill to medium-high heat. Grill the marinated chicken for 15-20 minutes, turning occasionally, until cooked through. Serve hot with a side of steamed rice or grilled vegetables.
1065;Savory Marinated Cole Slaw Recipe with Beef;Side Dish;afro asian fusion recipe;30;45;15;Mixer|Stove / Pan;150;easy;20;10;15;1;1;300;cole-slaw-beef-fusion;Adjust gochujang to taste for spiciness.;"60 g panko breadcrumbs, 120 g ground beef, 1 g salt, 1 piece egg, 1 piece red onion; thinly sliced, 1 g black pepper, 5 g sage, 120 ml coconut milk, 15 g gochujang, 30 g roasted peanuts; chopped, 100 g green cabbage; shredded, 50 g carrots; grated";In a bowl, combine ground beef, panko breadcrumbs, egg, salt, black pepper, and sage. Form mixture into small patties. Heat a pan over medium heat and cook patties for 5-7 minutes on each side until browned. In a separate bowl, whisk together coconut milk and gochujang until smooth. In a large mixing bowl, combine shredded cabbage, grated carrots, and sliced red onion. Pour the coconut milk mixture over the vegetables and toss to coat evenly. Add cooked beef patties to the slaw and gently mix. Top with chopped roasted peanuts for crunch. Serve immediately or chill for 10 minutes before serving.
1066;Decadent Chocolate Fudge Recipe with Peanut Butter;Dessert;afro asian fusion recipe;15;25;10;Stove / Pan;350;easy;6;15;45;3;30;0;afro-asian-chocolate-fudge-peanut-miso;This fudge combines the richness of chocolate with the umami of miso and the crunch of peanuts.;200 g sugar, 240 ml coconut milk, 30 g cocoa powder, 30 g butter, 30 g crunchy peanut butter, 30 g white miso paste, 60 g oatmeal, 5 tsp vanilla extract, 30 g toasted sesame seeds;"Combine sugar and coconut milk in a saucepan over medium heat. Stir until sugar dissolves and mixture is smooth. Add cocoa powder, butter, and peanut butter; mix until well combined. Incorporate white miso paste and stir until fully blended. Remove from heat and fold in oatmeal and vanilla extract. Pour mixture into a lined baking dish. Sprinkle toasted sesame seeds on top for garnish. Refrigerate for at least 2 hours until set. Cut into squares and serve chilled."
1067;Pumpkin Oatmeal Cookie Recipe with Walnuts and Raisins;Dessert;afro asian fusion recipe;16;31;15;Oven;350;easy;5;15;50;3;25;200;pumpkin-oatmeal-cookie-walnuts-and-raisins-fusion;These cookies combine the warmth of pumpkin and spices with a spicy kick from gochujang and the nuttiness of tahini.;"120 g flour, 60 g oats, 5 tsp baking soda, 5 g ground cinnamon, 1 g salt, 30 g unsalted butter, 100 g sugar, 50 g brown sugar, 120 g pumpkin puree, 1 piece egg, 5 tsp vanilla extract, 30 g walnuts; chopped, 30 g raisins, 30 g gochujang (Korean chili paste), 30 g tahini (sesame paste), 30 g coconut flakes";"Preheat the oven to 180°C. In a large bowl, mix flour, oats, baking soda, cinnamon, and salt. In another bowl, cream together butter, sugar, and brown sugar until fluffy. Add pumpkin puree, egg, vanilla extract, gochujang, and tahini to the butter mixture; mix well. Gradually add the dry ingredients to the wet mixture; stir until combined. Fold in walnuts, raisins, and coconut flakes. Drop spoonfuls of the dough onto a lined baking sheet. Bake for 16 minutes or until edges are golden. Let cool on the baking sheet for 5 minutes before transferring to a wire rack. Enjoy your Afro-Asian fusion cookies!"
1068;Irresistible Shish Kabob Marinade Recipe;Dessert;afro asian fusion recipe;16;26;10;Oven;200;easy;1;5;35;0;10;0;shish-kabob-marinade;For an extra kick, add chili flakes to the mixture.;"120 g butter cake mix, 120 g pineapple; crushed, 50 g sugar, 30 g soy sauce, 10 g ginger; grated";Mix butter cake mix, crushed pineapple, and sugar in a medium bowl. In a large bowl, combine soy sauce and grated ginger. Beat the mixture until well combined and slightly fluffy. Gradually add the butter cake mixture to the soy sauce blend. Mix until smooth and well incorporated. Drop dough onto a greased baking sheet, forming 3-inch circles. Repeat with remaining dough, spacing them evenly. Bake in a preheated oven at 180 °C for 14 to 16 minutes or until firm and lightly browned. Cool on baking sheets for two minutes. Transfer to wire racks to cool completely.
1069;Savory Meatballs and Onions Casserole Recipe;Dessert;afro asian fusion recipe;15;25;10;Stove / Pan|Mixer;350;easy;5;15;40;1;25;50;meatballs-and-onions-casserole;Serve with steamed rice for a complete meal.;"200 g sugar, 240 ml coconut milk, 120 g marshmallow cream, 30 g peanut butter, 5 tsp vanilla, 300 g ground beef, 2 tsp gochujang, 1 tsp ginger; grated, 1 onion; sliced, 2 tbsp soy sauce, 2 tbsp sesame oil";Preheat oven to 180°C. In a bowl, mix ground beef with gochujang, ginger, and soy sauce. Form the mixture into meatballs. Heat sesame oil in a pan and brown the meatballs on all sides. Remove meatballs and sauté sliced onions until translucent. In a separate bowl, combine coconut milk, sugar, and peanut butter. Layer meatballs and onions in a casserole dish. Pour the coconut mixture over the meatballs. Bake in the oven for 15 minutes. Let it cool slightly before serving.
1070;Irresistible Million Dollar Fudge Recipe with Beef;Snack;afro asian fusion recipe;0;40;10;Mixer;300;easy;15;20;5;0;2;300;fusion-million-dollar-fudge-beef;This fudge combines rich flavors from both African and Asian cuisines, perfect for a unique snack.;"120 g cream cheese, 120 g sour cream, 120 g mayonnaise, 1 piece green onion; finely chopped, 1 g garlic salt, 120 g beef; cooked and finely chopped, 30 g gochujang, 30 g peanut butter, 60 ml coconut milk, 5 g sesame seeds";In a bowl, mix cream cheese, sour cream, and mayonnaise until smooth. Add finely chopped green onion and cooked beef, mixing well. In a saucepan, combine sugar and coconut milk, cooking until soft-ball stage. Remove from heat and stir in gochujang, peanut butter, and garlic salt. Beat the mixture until creamy and well combined. Pour the mixture into an 8 x 8-inch pan. Sprinkle sesame seeds on top for garnish. Let it cool at room temperature for about 30 minutes before slicing.
1071;Irresistible Minute-Boil Fudge Frosting Recipe;Dessert;afro asian fusion recipe;15;25;10;Stove / Pan;300;easy;2;10;50;1;40;50;afro-asian-fudge-frosting;This frosting pairs well with tropical desserts.;"200 g sugar, 30 g coconut oil, 1 piece egg, 120 ml coconut milk, 120 g rice flour, 5 g cream of tartar, 1 tsp baking soda, 5 tsp vanilla extract, 30 g dried mango; chopped, 200 g sugar, 240 ml water, 120 g rice flour";Heat coconut oil in a pan over medium heat. Mix sugar, coconut milk, and egg in a bowl until smooth. In another bowl, combine rice flour, cream of tartar, and baking soda. Gradually add the dry ingredients to the wet mixture, stirring well. Fold in chopped dried mango and vanilla extract. Pour the mixture into the heated pan and cook for 15 minutes, stirring constantly. Remove from heat and let cool slightly before serving. Serve with warm coconut bread or on its own.
1072;Savory Beef Tortilla Roll-Up Recipe;Main Course;afro asian fusion recipe;10;20;10;Pan;300;easy;20;15;40;2;10;200;beef-tortilla-roll-up;For added flavor, serve with a side of soy sauce or tamari.;"120 g beef; minced, 2 pieces corn tortillas, 1 g salt, 1 g black pepper, 5 g cumin seasoning, 30 ml sesame oil, 30 g gochujang, 50 g cooked rice, 30 g chopped peanuts, 20 g fresh cilantro; chopped";"Heat sesame oil in a pan over medium heat. Add minced beef, salt, black pepper, and cumin seasoning; cook until browned. Stir in gochujang and cooked rice; mix well. Remove from heat and let the filling cool slightly. Place a corn tortilla on a flat surface. Spoon the beef mixture onto the tortilla and sprinkle with chopped peanuts and cilantro. Roll the tortilla tightly to enclose the filling. Repeat with remaining tortillas and filling. Serve immediately or grill for 2 minutes for a crispy texture."
1073;Irresistible No-Crust Coconut Pie Recipe;Main Course;afro asian fusion recipe;25;35;10;Pan|Oven;300;easy;25;20;15;2;2;500;fusion-coconut-beef-pie;Serve with a side of sweet chili sauce for added flavor.;"120 g ground beef, 1 piece onion; diced, 1 piece green pepper; diced, 2 clove garlic; minced, 120 g tomato paste, 240 ml coconut milk, 1 g salt, 120 g pork; minced, 60 g shiitake mushrooms; sliced, 30 g gochujang, 1 piece rice paper";"In a pan, heat ground beef until browned. Add onion, green pepper, and garlic; sauté until soft. Stir in tomato paste and gochujang; mix well. Pour in coconut milk and simmer for 10 minutes. Add minced pork and shiitake mushrooms; cook for another 5 minutes. Season with salt to taste. Soak rice paper in warm water until pliable. Place a spoonful of the beef mixture onto the rice paper. Fold and roll the rice paper tightly around the filling. Repeat until all filling is used. Pan-fry the rolls in a little oil until golden brown on all sides. Serve hot with a dipping sauce of your choice."
1074;Crustless Egg Custard Delight Recipe;Main Course;afro asian fusion recipe;25;40;15;Saucepan|Oven;250;easy;20;15;10;1;2;500;afro-asian-crustless-egg-custard;Serve with a side of sautéed greens for a complete meal.;"120 g chicken; diced, 100 g rice flour, 240 ml chicken stock, 120 ml coconut milk, 30 g palm oil, 1 piece onion; finely chopped, 1 piece celery; diced, 2 pieces eggs, 1 tablespoon gochujang, 1 teaspoon ginger; grated";Preheat the oven to 180 °C. Heat palm oil in a saucepan over medium heat. Sauté onion and celery until soft. Add chicken and cook until browned. Stir in gochujang and ginger, mixing well. Pour in chicken stock and coconut milk, bring to a simmer. In a bowl, whisk eggs and rice flour until smooth. Combine the egg mixture with the chicken mixture. Pour into a greased baking dish. Bake for 25 minutes or until set and golden. Let cool slightly before serving.
1075;No-Cook Strawberry Jam Recipe: Sweetness Simplified;Main Course;afro asian fusion recipe;25;40;15;Pan|Oven;;easy;0;0;0;0;0;0;afro-asian-fusion-strawberry-beef-jam;Serve with steamed rice or as a filling in wraps for a complete meal.;"120 g ground beef, 1 piece green pepper; diced, 1 g salt, 30 ml soy sauce, 1 piece egg; beaten, 1 piece onion; finely chopped, 1 g black pepper, 60 g puffed rice cereal, 240 ml tomato soup, 30 g gochujang, 50 g fresh strawberries; mashed, 10 ml sesame oil";In a bowl, mix ground beef, green pepper, salt, soy sauce, beaten egg, onion, and black pepper. Form the mixture into small patties. Heat sesame oil in a pan over medium heat. Cook the patties for about 5 minutes on each side until browned. In a separate bowl, combine tomato soup and gochujang, stirring well. Add the mashed strawberries to the soup mixture and blend until smooth. Pour the sauce over the cooked patties in the pan. Simmer for 10 minutes, allowing flavors to meld. Serve the patties topped with the strawberry sauce and sprinkle with puffed rice cereal. Garnish with additional diced green pepper if desired.
1076;Hearty Nut Cake Recipe with Vegetables and Meat;Main Course;afro asian fusion recipe;30;45;15;Pot|Stove / Pan;350;easy;25;15;40;5;5;300;nut-cake-vegetables-and-meat-fusion;Adjust spice levels according to taste.;"1 piece carrot; grated, 60 g peas, 60 g green beans; chopped, 1 piece tomato; diced, 120 g minced beef; marinated in soy sauce and ginger, 1 piece potato; diced, 60 g macaroni; cooked, 30 g ground peanuts, 1 tbsp gochujang, 1 tbsp sesame oil";In a bowl, mix minced beef with grated carrot, peas, green beans, diced tomato, and cooked macaroni. Add ground peanuts, gochujang, and sesame oil to the mixture. Form the mixture into 10 balls. Roll the balls in flour to coat evenly. Heat a pan with a little oil over medium heat. Brown the balls on all sides in the hot pan. Transfer the browned balls to a casserole dish. Dilute 400 ml of water with gochujang and pour over the balls. Cover the casserole and bake at 180 °C for 30 minutes. Serve hot, garnished with sesame seeds.
